"Reference.area","TIME_PERIOD","Income threshold_1","Income threshold_10","Income threshold_11","Income threshold_12","Income threshold_13","Income threshold_14","Income threshold_15","Income threshold_16","Income threshold_17","Income threshold_18","Income threshold_19","Income threshold_2","Income threshold_20","Income threshold_21","Income threshold_22","Income threshold_3","Income threshold_4","Income threshold_5","Income threshold_6","Income threshold_7","Income threshold_8","Income threshold_9","Marginal rate_1","Marginal rate_10","Marginal rate_11","Marginal rate_12","Marginal rate_13","Marginal rate_14","Marginal rate_15","Marginal rate_16","Marginal rate_17","Marginal rate_18","Marginal rate_19","Marginal rate_2","Marginal rate_20","Marginal rate_21","Marginal rate_22","Marginal rate_23","Marginal rate_3","Marginal rate_4","Marginal rate_5","Marginal rate_6","Marginal rate_7","Marginal rate_8","Marginal rate_9"
"Australia",2000,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,50000,60000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2001,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,50000,60000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2002,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA,NA,50000,60000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2003,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,52000,62500,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2004,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,58000,70000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2005,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,63000,95000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2006,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,NA,NA,NA,63000,95000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,42,47,NA,NA,NA,NA
"Australia",2007,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,75000,150000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,40,45,NA,NA,NA,NA
"Australia",2008,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,75000,150000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,40,45,NA,NA,NA,NA
"Australia",2009,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,40,45,NA,NA,NA,NA
"Australia",2010,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,38,45,NA,NA,NA,NA
"Australia",2011,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,37,45,NA,NA,NA,NA
"Australia",2012,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,30,37,45,NA,NA,NA,NA
"Australia",2013,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2014,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2015,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2016,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,80000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2017,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,87000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2018,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,87000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2019,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,90000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2020,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,NA,NA,NA,90000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2021,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,NA,120000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2022,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,NA,120000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2023,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,NA,120000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,32.5,37,45,NA,NA,NA,NA
"Australia",2024,18200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,NA,NA,NA,120000,180000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,33,37,45,NA,NA,NA,NA
"Austria",2000,3633.6,36336,50871,NA,NA,NA,NA,NA,NA,NA,NA,7267.3,NA,NA,NA,8866.1,9810.8,10901,14535,18168,21802,29069,0,45,42,50,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,31,43.3,22.33,32,35,32.93,42.93
"Austria",2001,3633.6,50871,NA,NA,NA,NA,NA,NA,NA,NA,NA,7267.3,NA,NA,NA,8866.1,9810.8,10901,14535,18168,21802,35421,0,41,50,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,31,43.31,22.33,32,35,32.93,45.5
"Austria",2002,3640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7270,NA,NA,NA,21800,50870,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,31,41,50,NA,NA,NA,NA
"Austria",2003,3640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7270,NA,NA,NA,21800,50870,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,31,41,50,NA,NA,NA,NA
"Austria",2004,3640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7270,NA,NA,NA,21800,50870,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,31,41,50,NA,NA,NA,NA
"Austria",2005,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,51000,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.33333,NA,NA,NA,NA,43.59615,50,NA,NA,NA,NA,NA
