country,year,incthrl,incthrh,marratel,marrateh
Australia,2000,6000,60000,0,47
Australia,2001,6000,60000,0,47
Australia,2002,6000,60000,0,47
Australia,2003,6000,62500,0,47
Australia,2004,6000,70000,0,47
Australia,2005,6000,95000,0,47
Australia,2006,6000,95000,0,47
Australia,2007,6000,150000,0,45
Australia,2008,6000,150000,0,45
Australia,2009,6000,180000,0,45
Australia,2010,6000,180000,0,45
Australia,2011,6000,180000,0,45
Australia,2012,6000,180000,0,45
Australia,2013,18200,180000,0,45
Australia,2014,18200,180000,0,45
Australia,2015,18200,180000,0,45
Australia,2016,18200,180000,0,45
Australia,2017,18200,180000,0,45
Australia,2018,18200,180000,0,45
Australia,2019,18200,180000,0,45
Australia,2020,18200,180000,0,45
Australia,2021,18200,180000,0,45
Australia,2022,18200,180000,0,45
Australia,2023,18200,180000,0,45
Australia,2024,18200,180000,0,45
Austria,2000,3633.6,29069,0,42.93
Austria,2001,3633.6,35421,0,45.5
Austria,2002,3640,50870,0,50
Austria,2003,3640,50870,0,50
Austria,2004,3640,50870,0,50
Austria,2005,10000,51000,0,50
Austria,2006,10000,51000,0,50
Austria,2007,10000,51000,0,50
Austria,2008,10000,51000,0,50
Austria,2009,11000,60000,0,50
Austria,2010,11000,60000,0,50
Austria,2011,11000,60000,0,50
Austria,2012,11000,60000,0,50
Austria,2013,11000,60000,0,50
Austria,2014,11000,60000,0,50
Austria,2015,11000,60000,0,50
Austria,2016,11000,1.00E+06,0,55
Austria,2017,11000,1.00E+06,0,55
Austria,2018,11000,1.00E+06,0,55
Austria,2019,11000,1.00E+06,0,55
Austria,2020,11000,1.00E+06,0,55
Austria,2021,11000,1.00E+06,0,55
Austria,2022,11000,1.00E+06,0,55
Austria,2023,11693,1.00E+06,0,0.55
Austria,2024,12816,1.00E+06,0,55
Belgium,2000,6395.6529,61229.701,25,55
Belgium,2001,6570,62790,25,55
Belgium,2002,6730,43870,25,52
Belgium,2003,6840,29740,25,50
Belgium,2004,6950,30210,25,50
Belgium,2005,7100,30840,25,50
Belgium,2006,7290,31700,25,50
Belgium,2007,7420,32270,25,50
Belgium,2008,7560,32860,25,50
Belgium,2009,7900,34360,25,50
