"country","year","incthrl","incthrh","marratel","marrateh","gini"
"Australia",2000,6000,60000,0,47,NA
"Australia",2001,6000,60000,0,47,33.5
"Australia",2002,6000,60000,0,47,NA
"Australia",2003,6000,62500,0,47,33.5
"Australia",2004,6000,70000,0,47,33.1
"Australia",2005,6000,95000,0,47,NA
"Australia",2006,6000,95000,0,47,NA
"Australia",2007,6000,150000,0,45,NA
"Australia",2008,6000,150000,0,45,35.4
"Australia",2009,6000,180000,0,45,NA
"Australia",2010,6000,180000,0,45,34.7
"Australia",2011,6000,180000,0,45,NA
"Australia",2012,6000,180000,0,45,NA
"Australia",2013,18200,180000,0,45,NA
"Australia",2014,18200,180000,0,45,34.4
"Australia",2015,18200,180000,0,45,NA
"Australia",2016,18200,180000,0,45,33.7
"Australia",2017,18200,180000,0,45,NA
"Australia",2018,18200,180000,0,45,34.3
"Australia",2019,18200,180000,0,45,NA
"Australia",2020,18200,180000,0,45,33.8
"Australia",2021,18200,180000,0,45,NA
"Australia",2022,18200,180000,0,45,NA
"Australia",2023,18200,180000,0,45,NA
"Australia",2024,18200,180000,0,45,NA
"Austria",2000,3633.6,29069,0,42.93,29
"Austria",2001,3633.6,35421,0,45.5,NA
"Austria",2002,3640,50870,0,50,NA
"Austria",2003,3640,50870,0,50,29.5
"Austria",2004,3640,50870,0,50,29.8
"Austria",2005,10000,51000,0,50,28.7
"Austria",2006,10000,51000,0,50,29.6
"Austria",2007,10000,51000,0,50,30.6
"Austria",2008,10000,51000,0,50,30.4
"Austria",2009,11000,60000,0,50,31.5
"Austria",2010,11000,60000,0,50,30.3
"Austria",2011,11000,60000,0,50,30.8
"Austria",2012,11000,60000,0,50,30.5
"Austria",2013,11000,60000,0,50,30.8
"Austria",2014,11000,60000,0,50,30.5
"Austria",2015,11000,60000,0,50,30.5
"Austria",2016,11000,1e+06,0,55,30.8
"Austria",2017,11000,1e+06,0,55,29.7
"Austria",2018,11000,1e+06,0,55,30.8
"Austria",2019,11000,1e+06,0,55,30.2
"Austria",2020,11000,1e+06,0,55,29.8
"Austria",2021,11000,1e+06,0,55,30.7
"Austria",2022,11000,1e+06,0,55,30.9
"Austria",2023,11693,1e+06,0,0.55,31.2
"Austria",2024,12816,1e+06,0,55,NA
"Belgium",2000,6395.6529,61229.701,25,55,33.1
"Belgium",2001,6570,62790,25,55,NA
"Belgium",2002,6730,43870,25,52,NA
"Belgium",2003,6840,29740,25,50,28.1
"Belgium",2004,6950,30210,25,50,30.5
"Belgium",2005,7100,30840,25,50,29.3
"Belgium",2006,7290,31700,25,50,28.1
"Belgium",2007,7420,32270,25,50,29.2
"Belgium",2008,7560,32860,25,50,28.4
"Belgium",2009,7900,34360,25,50,28.6
"Belgium",2010,7900,34330,25,50,28.4
"Belgium",2011,8070,35060,25,50,28.1
"Belgium",2012,8350,36300,25,50,27.5
"Belgium",2013,8590,37330,25,50,27.7
"Belgium",2014,8680,37750,25,50,28.1
"Belgium",2015,8710,37870,25,50,27.7
"Belgium",2016,10860,38080,25,50,27.6
"Belgium",2017,11070,38830,25,50,27.4
"Belgium",2018,9120,39660,25,50,27.2
"Belgium",2019,9310,40480,25,50,27.2
"Belgium",2020,13440,41060,25,50,26
"Belgium",2021,13540,41360,25,50,26.6
"Belgium",2022,13870,42370,25,50,26.4
"Belgium",2023,15200,46440,25,50,26.8
"Belgium",2024,15820,48320,25,50,NA
"Canada",2000,30004,60009,17,29,33.4
"Canada",2001,30754,1e+05,16,29,33.6
"Canada",2002,31677,103000,16,29,33.6
"Canada",2003,32183,104648,16,29,33.8
"Canada",2004,35000,113804,16,29,33.8
"Canada",2005,35595,115739,15,29,33.6
"Canada",2006,36378,118285,15.25,29,34.1
"Canada",2007,37178,120887,15,29,33.8
"Canada",2008,37885,123184,15,29,33.9
"Canada",2009,40726,126264,15,29,34
"Canada",2010,40970,127021,15,29,33.6
"Canada",2011,41544,128800,15,29,32.7
"Canada",2012,42707,132406,15,29,33.5
"Canada",2013,43561,135054,15,29,33.8
"Canada",2014,43953,136270,15,29,33.2
"Canada",2015,44701,138586,15,29,33.7
"Canada",2016,45282,2e+05,15,33,32.7
"Canada",2017,45916,202800,15,33,33.3
"Canada",2018,46605,205842,15,33,32.5
"Canada",2019,47630,210371,15,33,31.7
"Canada",2020,48535,214368,15,33,29.9
"Canada",2021,49020,216511,15,33,31.1
"Canada",2022,50197,221708,15,33,NA
"Canada",2023,53395,235675,15,33,NA
"Canada",2024,55867,246752,15,33,NA
"Chile",2000,3312000,39744000,0,45,52.8
"Chile",2001,3422880,41074560,0,45,NA
"Chile",2002,4761018,52900200,0,43,NA
"Chile",2003,4817718,53530200,0,40,51.5
"Chile",2004,4909896,54554400,0,40,NA
"Chile",2005,5114502,56827800,0,40,NA
"Chile",2006,5217372,57970800,0,40,47.7
"Chile",2007,5543964,61599600,0,40,NA
"Chile",2008,6099624,67773600,0,40,NA
"Chile",2009,5971806,66353400,0,40,47.4
"Chile",2010,6092010,67689000,0,40,NA
"Chile",2011,6321402,70237800,0,40,46.9
"Chile",2012,6513372,72370800,0,40,NA
"Chile",2013,6605064,73389600,0,40,46.8
"Chile",2014,69998076,77756400,0,40,NA
"Chile",2015,7282710,80919000,0,40,45.3
