"country","year","incthrl","incthrh","marratel","marrateh","gini","socbene","ppp","gdppcap"
"Australia",2000,6000,60000,0,47,NA,8.22530489697558,1.31208,27496.9
"Australia",2001,6000,60000,0,47,33.5,8.02932617116612,1.327545,28522.9
"Australia",2002,6000,60000,0,47,NA,7.7848799916464,1.33649,30004.3
"Australia",2003,6000,62500,0,47,33.5,8.19184005009989,1.351978,31111.4
"Australia",2004,6000,70000,0,47,33.1,7.87448890423225,1.36477,32851.5
"Australia",2005,6000,95000,0,47,NA,7.59975192473053,1.388356,34384.5
"Australia",2006,6000,95000,0,47,NA,7.36268349195642,1.402633,36171.2
"Australia",2007,6000,150000,0,45,NA,7.18679318377518,1.42652,38074.4
"Australia",2008,6000,150000,0,45,35.4,8.72703997977108,1.479073,39237.4
"Australia",2009,6000,180000,0,45,NA,7.49957013652464,1.442566,40302.7
"Australia",2010,6000,180000,0,45,34.7,7.34474155803085,1.503623,41173.9
"Australia",2011,6000,180000,0,45,NA,7.40607672982121,1.511052,43418.2
"Australia",2012,6000,180000,0,45,NA,7.47850319812297,1.540115,43200.5
"Australia",2013,18200,180000,0,45,NA,7.61499753784589,1.447123,46810.8
"Australia",2014,18200,180000,0,45,34.4,7.71345368831123,1.452489,47236.6
"Australia",2015,18200,180000,0,45,NA,7.65644441587296,1.474079,46605
"Australia",2016,18200,180000,0,45,33.7,7.10537186921465,1.450156,48314.3
"Australia",2017,18200,180000,0,45,NA,6.76705270997426,1.477553,49486
"Australia",2018,18200,180000,0,45,34.3,6.47713643465964,1.470403,51536.6
"Australia",2019,18200,180000,0,45,NA,7.33919354692746,1.459253,53840.8
"Australia",2020,18200,180000,0,45,33.8,7.76462047524107,1.431163,53862.1
"Australia",2021,18200,180000,0,45,NA,6.69274963177746,1.395724,61398.5
"Australia",2022,18200,180000,0,45,NA,5.64199714941291,1.359891,69959.8
"Australia",2023,18200,180000,0,45,NA,5.81240846633893,1.366149,71785.1
"Australia",2024,18200,180000,0,45,NA,NA,1.379937,72360.1
"Austria",2000,3633.6,29069,0,42.93,29,18.7738232657774,0.907505,29214.7
"Austria",2001,3633.6,35421,0,45.5,NA,18.6099902143,0.922895,29556.4
"Austria",2002,3640,50870,0,50,NA,18.8878060767981,0.899797,30951.6
"Austria",2003,3640,50870,0,50,29.5,19.1429736973158,0.888119,31975.3
"Austria",2004,3640,50870,0,50,29.8,18.8531198236372,0.878053,33533.3
"Austria",2005,10000,51000,0,50,28.7,18.4203373920163,0.881939,34787.5
"Austria",2006,10000,51000,0,50,29.6,18.056120332666,0.86003,37399.1
"Austria",2007,10000,51000,0,50,30.6,17.4493778919433,0.867981,39195.2
"Austria",2008,10000,51000,0,50,30.4,17.649854454942,0.854424,41046.5
"Austria",2009,11000,60000,0,50,31.5,19.1019009824568,0.843756,40674.5
"Austria",2010,11000,60000,0,50,30.3,19.2407357322792,0.842336,41751.8
"Austria",2011,11000,60000,0,50,30.8,18.5621956942377,0.831374,44187.9
"Austria",2012,11000,60000,0,50,30.5,18.7201112972589,0.813648,46176.6
"Austria",2013,11000,60000,0,50,30.8,19.1415121550169,0.797081,47534.2
"Austria",2014,11000,60000,0,50,30.5,19.2199450340263,0.798797,48368.9
"Austria",2015,11000,60000,0,50,30.5,19.0188074999961,0.798599,49638.4
"Austria",2016,11000,1e+06,0,55,30.8,18.7778969699739,0.776931,52379
"Austria",2017,11000,1e+06,0,55,29.7,18.3485121751326,0.775009,53884.9
"Austria",2018,11000,1e+06,0,55,30.8,17.9923370645155,0.765403,56654.6
"Austria",2019,11000,1e+06,0,55,30.2,17.9421570155642,0.738332,60370.5
"Austria",2020,11000,1e+06,0,55,29.8,20.32294412024,0.728799,58522.8
"Austria",2021,11000,1e+06,0,55,30.7,19.4350490217243,0.72035,62998.8
"Austria",2022,11000,1e+06,0,55,30.9,18.1618414367837,0.700477,70865.6
"Austria",2023,11693,1e+06,0,0.55,31.2,18.3412461146199,0.735286,71173.5
"Austria",2024,12816,1e+06,0,55,NA,19.622878333349,0.733163,73427.6
"Belgium",2000,6395.6529,61229.701,25,55,33.1,14.5222415167699,0.9,27788
"Belgium",2001,6570,62790,25,55,NA,14.6745284107396,0.892366,28796.5
"Belgium",2002,6730,43870,25,52,NA,15.1747501151851,0.8733,30282.3
"Belgium",2003,6840,29740,25,50,28.1,15.4170942979415,0.876064,30934.6
"Belgium",2004,6950,30210,25,50,30.5,15.1689729488979,0.888301,32064
"Belgium",2005,7100,30840,25,50,29.3,15.0554642404663,0.891788,33177.9
"Belgium",2006,7290,31700,25,50,28.1,14.8478786042814,0.874274,35259
"Belgium",2007,7420,32270,25,50,29.2,14.7847222606207,0.878774,36799.5
"Belgium",2008,7560,32860,25,50,28.4,15.3711046499562,0.86694,37883.3
"Belgium",2009,7900,34360,25,50,28.6,16.7360250581693,0.850135,37886
"Belgium",2010,7900,34330,25,50,28.4,16.4349481227962,0.836717,39844.4
"Belgium",2011,8070,35060,25,50,28.1,16.4163313930677,0.831911,41244.8
