STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TRANSACTION,Transaction,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,CIVIL_STATUS,Civil status,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,LEVEL,Level,TAX_BASE,Tax base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2000,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2001,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2002,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2003,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2004,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2005,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2006,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2007,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2008,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2009,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2010,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2011,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2012,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2013,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2014,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2015,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2016,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2017,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2018,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2019,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2020,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2021,,0,,1,One,A,Normal value,0,Units
DATAFLOW,OECD.CTP.TPS:DSD_TAX_PIT@DF_PIT_CENT(1.0),Personal income tax (PIT) - central government rates and thresholds,I,AUS,Australia,A,Annual,MR_R,Marginal rate,PIT,Personal income tax,PT_INC_TAX,Percentage of taxable income,S1311,Central government,S,Single person,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,L1,1,_Z,Not applicable,2022,,0,,1,One,A,Normal value,0,Units
